"";"1";"2";"3";"4";"5";"class"
"1";0,999695489244672;2,38549165742421e-06;6,95917511058317e-12;0,000302125256711065;4,5703238359116e-48;1
"2";1,68604805133920e-06;4,11265046787133e-33;2,66823521667878e-29;0,999998313951949;1,02459700887421e-93;4
"3";9,92829208764686e-07;0,925551300883226;0,0744477062875653;2,58568927021007e-19;3,8243358330737e-17;2
"4";8,02969103143448e-22;2,38141020878506e-10;0,999823561618366;5,00547438216744e-39;0,000176438143492935;3
"5";4,73213590622633e-51;6,12056736927367e-34;0,000695371341024126;2,16754277510204e-67;0,999304628658976;5
"6";7,02356796801936e-05;2,035735860691e-31;1,49363310600970e-27;0,99992976432032;3,00624871338221e-90;4
"7";2,19519773994806e-07;0,9998675804961;0,000132199984125631;1,19654434360786e-16;6,6003911346734e-23;2
"8";0,00362986638258291;5,8929927256751e-24;2,84602469339794e-23;0,996370133617417;2,01444397206059e-79;4
"9";3,10161614247574e-08;9,30497063285317e-28;2,23837224366424e-24;0,999999968983839;2,45852897801295e-84;4
"10";1,31443023665425e-42;1,54018312216739e-26;0,000481988310230703;1,19389843784816e-60;0,99951801168977;5
"11";1,12945839613119e-05;0,999774084075835;0,000214621340203640;1,03625357722284e-16;2,20132400060733e-22;2
"12";3,93440710880993e-19;1,65047384662276e-09;0,999996740031357;2,61373889061574e-36;3,2583181694728e-06;3
"13";7,34879840055228e-09;0,997101393976714;0,00289859867448775;9,4244078033443e-19;1,65056337268273e-19;2
"14";0,999996203114239;1,28279754815463e-08;1,33766678238128e-12;3,78405644829444e-06;1,02427089901994e-48;1
"15";0,99713695648723;5,54589962233477e-06;3,07031913869795e-11;0,00285749758244394;4,55728597650408e-48;1
"16";1,02202378410301e-39;1,17062291959259e-26;0,00430181621820722;2,41641485449867e-59;0,995698183781793;5
"17";4,36480087866663e-05;0,99992807098351;2,82810076717845e-05;3,08096088675014e-14;8,87742947479617e-26;2
"18";0,999938601846745;5,73336982551898e-08;5,26075234403154e-13;6,13408190310154e-05;7,1883790204355e-50;1
"19";5,93603883461584e-05;0,999911364097988;2,9275513551587e-05;1,14289816332197e-13;2,52988492637625e-26;2
"20";6,87191607378727e-11;2,85350687424232e-36;1,28064946891931e-29;0,99999999993128;3,59501969921813e-97;4
"21";0,99808824447907;1,39629546125565e-09;3,41210433665562e-14;0,00191175412459968;5,75797021507522e-54;1
