"EII.6013";"VII.6013";"EII.6014";"VII.6014";"EII.6015";"VII.6015"
"3";-23055,6428953637;-20650,4092394482;-23055,6429898702;-20805,1412892740;-23055,6448550592;-20702,5199396309
"4";-22476,0691625021;-20643,8812612109;-22837,3933363121;-19879,1492209786;-22480,0578164297;-20216,7554633893
"5";-22582,7301975164;-19460,7279293835;-22598,5127640440;-19143,1468794911;-22200,9122961191;-19129,8798862270
