"";"1";"2";"3";"class"
"1";0,000156864662018146;1,36242408698828e-209;0,999843135337982;3
"2";0,94784714657808;2,55596358491686e-30;0,052152853421921;1
"3";0,998841450778754;6,18363161511026e-77;0,00115854922124580;1
"4";0,999874346275831;1,42435255661476e-34;0,000125653724168823;1
"5";0,99987023223563;1,44623242271414e-66;0,000129767764369540;1
"6";2,96321990398967e-05;5,33822584349056e-228;0,99997036780096;3
"7";0,661510707808321;5,16977075328555e-66;0,338489292191679;1
"8";0,000262770422479390;3,01435511030824e-250;0,99973722957752;3
"9";0,00582207223741818;5,06401544028494e-191;0,994177927762582;3
"10";0,99873224776614;1,24553207593950e-08;0,00126773977853917;1
"11";0,884630853841527;6,66255846378873e-54;0,115369146158473;1
"12";0,747587899598763;2,84373231165541e-50;0,252412100401237;1
"13";0,99998548124517;4,34041543150639e-62;1,45187548304597e-05;1
"15";0,00249036377313577;4,2534590617608e-190;0,997509636226864;3
"16";0,0361153554969437;0,963883956036989;6,88466067407285e-07;2
"17";0,00388947818047317;5,56556140291749e-128;0,996110521819527;3
"18";0,999292443428392;7,63202739420124e-30;0,000707556571607985;1
"19";0,999951989409498;1,74342066994134e-09;4,80088470814695e-05;1
"21";3,99456427567551e-05;2,41549289147016e-222;0,999960054357243;3
"22";0,180894685049475;6,31660178700066e-120;0,819105314950525;3
"23";0,000314361883210374;5,14962280652128e-179;0,99968563811679;3
"24";0,99999915830622;4,45599278138386e-14;8,41693734756888e-07;1
"25";0,999231398384697;9,16749007611151e-27;0,000768601615303352;1
"27";0,00248694612770198;1,68844251055262e-141;0,997513053872298;3
"28";0,997916561745474;2,26773401444938e-74;0,00208343825452632;1
"29";0,000135010475645636;1,41345515354178e-214;0,999864989524354;3
"30";0,874093212177245;1,67091340923004e-80;0,125906787822755;1
"31";0,823821052104193;2,34629986461797e-44;0,176178947895807;1
"32";0,0401381996444672;0,959861655734901;1,44620631365323e-07;2
"33";0,0153342714570277;1,12702935204938e-175;0,984665728542972;3
"34";0,998319005118084;5,15155649887434e-63;0,0016809948819156;1
"35";0,00672746791016246;0,993272470938068;6,11517690852263e-08;2
"36";0,996065359383506;2,18203512946646e-19;0,00393464061649444;1
"37";0,287063507784708;1,72702113004611e-114;0,712936492215292;3
"39";0,000705720334504436;9,36784003031934e-161;0,999294279665496;3
"40";0,999983202586668;1,9085681762053e-14;1,67974133129645e-05;1
"41";0,000104856361981742;8,76602369200816e-200;0,999895143638018;3
"42";0,000400920147940559;8,6949847729257e-176;0,99959907985206;3
"43";0,00123617347211316;1,33254521806090e-167;0,998763826527887;3
"44";0,00680587791352482;0,993194020157734;1,01928740984305e-07;2
"46";0,999994815632838;5,67384426084117e-13;5,1843665945004e-06;1
"47";0,0664613316996825;1,21412089063649e-124;0,933538668300317;3
"48";0,306844407298687;5,4284897877696e-88;0,693155592701313;3
"49";0,0644176052692248;1,72611932145084e-113;0,935582394730775;3
"50";0,99850293747989;8,21594203368782e-43;0,00149706252010992;1
