"";"1";"2";"3";"class"
"1";2,39407579885674e-29;0,009927027796978;0,990072972203022;3
"2";4,8566290268259e-53;2,87498996026099e-08;0,9999999712501;3
"3";4,54220110365771e-14;0,999773171589207;0,000226828410747610;2
"4";0,00146628535055566;0,998533714063747;5,85697164179727e-10;2
"5";0,988013149516833;0,0119868504831673;8,86321886701583e-18;1
"6";7,68129689186758e-53;2,997807096431e-08;0,999999970021929;3
"7";1,66908712700178e-13;0,9997196688459;0,000280331153934037;2
"8";2,30919194947648e-53;4,47245140115808e-08;0,999999955275486;3
"9";3,77860944800257e-55;5,57967709450833e-08;0,999999944203229;3
"10";0,999731522037139;0,000268477962861105;3,37023914412768e-19;1
"11";4,63291612416355e-13;0,999687350209106;0,000312649790431072;2
"12";0,00205105664876918;0,997948942632784;7,18447275904567e-10;2
"13";3,48204780861349e-14;0,99978155709297;0,000218442906994883;2
"15";1,20525465794706e-29;0,0103012229428526;0,989698777057147;3
"16";0,999425087580105;0,00057491241989548;8,2080955536121e-19;1
"17";1,69489001685058e-13;0,99964838279005;0,000351617209779913;2
"18";3,57728024451177e-29;0,00896979307732148;0,991030206922678;3
"19";1,07000948655613e-13;0,999644982650186;0,000355017349707174;2
"21";1,50790264219789e-29;0,00787163620903758;0,992128363790962;3
"22";0,999719293427255;0,00028070657274489;2,96671505967454e-19;1
"23";3,66900143625365e-30;0,0083717015323758;0,991628298467624;3
"24";0,000703030735610423;0,999296968680935;5,83454304229927e-10;2
"25";0,999727828681381;0,000272171318619124;3,30817339299922e-19;1
"27";0,999795226380021;0,000204773619978502;2,50421186864670e-19;1
"28";2,03230012823873e-53;4,40583556942098e-08;0,999999955941644;3
"29";0,99976569030526;0,000234309694739753;2,61152572505908e-19;1
"30";3,53070249862256e-53;4,06929772629532e-08;0,999999959307023;3
"31";2,92767884744427e-13;0,999644914231503;0,000355085768204381;2
"32";0,00219259993066532;0,997807399260876;8,08459168728852e-10;2
"33";4,50336975172773e-14;0,999778490568958;0,0002215094309969;2
"34";0,00079772078705005;0,999202278698284;5,14665656354137e-10;2
"35";0,999502551384484;0,000497448615516541;7,00309896359668e-19;1
"36";0,000263316033555059;0,999736683343468;6,22976759865703e-10;2
"37";0,997689577033781;0,00231042296621882;1,98363878991339e-18;1
"39";1,35886210213532e-53;2,93797296398901e-08;0,99999997062027;3
"40";0,000624819772190739;0,999375179672585;5,55224254584505e-10;2
"41";2,13524313737598e-53;2,69532831414108e-08;0,999999973046717;3
"42";5,26872810821709e-53;3,32384222661579e-08;0,999999966761578;3
"43";0,99941779417133;0,000582205828669323;6,48554996615603e-19;1
"44";0,999724382498409;0,000275617501590898;3,46748045712382e-19;1
"46";2,09461061258009e-53;3,70487107004403e-08;0,99999996295129;3
"47";1,09597440091936e-13;0,999744881630238;0,000255118369652821;2
"48";0,99965942554119;0,000340574458809408;4,7094128488402e-19;1
"49";0,99953950794998;0,000460492050020975;4,57462556822399e-19;1
"50";4,18838567974218e-53;4,14394138390995e-08;0,999999958560586;3
