"";"1";"2";"3";"class"
"1";0,999928532003486;7,09906883142126e-05;4,77308199368081e-07;1
"2";0,0279531718115739;0,972046634677568;1,93510858042264e-07;2
"3";0,999999999999966;1,49262632516829e-18;3,41770724824371e-14;1
"4";0,999999611422347;1,63983854770769e-13;3,88577489108888e-07;1
"5";0,999999999999998;5,69904674834532e-22;2,20389466535914e-15;1
"6";0,81777714936824;0,182219010232025;3,84039973455204e-06;1
"7";0,999882167623561;8,49731829273104e-05;3,28591935112101e-05;1
"8";1;9,17749569509217e-16;1,59932651662554e-17;1
"9";1;8,16619964235709e-17;9,99853471813672e-23;1
"10";0,136232642249560;2,52877350957314e-05;0,863742070015345;3
"11";0,992112423950371;0,000698351292609051;0,00718922475701981;1
"12";0,892283688997062;8,55205709567765e-07;0,107715455797228;1
"13";0,999999999999744;7,26513675925259e-15;2,48463130154635e-13;1
"15";0,999933580890014;6,6357948058933e-05;6,11619270985847e-08;1
"16";0,0176453292157574;3,71799365692493e-06;0,982350952790586;3
"17";0,0803888066565814;0,911347045142384;0,0082641482010349;2
"18";0,993956067532348;0,00595896137771608;8,497108993618e-05;1
"19";0,0507393854914938;0,947168651100838;0,0020919634076678;2
"21";0,0215541285597934;0,978389888524593;5,59829156138722e-05;2
"22";0,999226550427569;9,31277966993546e-11;0,000773449479303644;1
"23";0,99996409806364;1,28308646082726e-05;2,30710717525587e-05;1
"24";0,999979865438754;4,66960233285932e-07;1,96676010124298e-05;1
"25";0,331465302554825;1,43889381897255e-05;0,668520308506985;3
"27";0,32836484053306;2,85457236742281e-07;0,671634874009703;3
"28";1;3,55517456921746e-16;1,9628927049275e-17;1
"29";0,971317822482117;1,89659041880116e-08;0,0286821585519786;1
"30";0,999999945791422;5,42075677785004e-08;1,00986457868458e-12;1
"31";0,174631612253524;0,74946112325022;0,0759072644962567;2
"32";0,075392425573961;0,000587067297185701;0,924020507128853;3
"33";0,999999999999469;8,3167826613718e-15;5,23079146952434e-13;1
"34";0,999999999106567;5,88909698149638e-14;8,93374476291052e-10;1
"35";0,0180461363385477;2,47310073182593e-06;0,98195139056072;3
"36";0,999613034013926;0,000228231784207266;0,000158734201867040;1
"37";0,999999999134903;7,30309380038685e-16;8,6509626797567e-10;1
"39";0,0149933729686591;0,985006624210128;2,82121317143603e-09;2
"40";0,999999129001657;5,92371371021655e-09;8,65074629590138e-07;1
"41";0,00829642304652902;0,991703550648992;2,63044786821157e-08;2
"42";0,801213786328884;0,198786138339414;7,53317023456922e-08;1
"43";0,998795406701507;2,89507903664751e-12;0,00120459329559763;1
"44";0,131929143014325;2,96809928532519e-05;0,868041175992822;3
"46";0,997989698891087;0,00201030076371835;3,45194347582793e-10;1
"47";0,999999884807116;3,61483120291022e-08;7,90445720366329e-08;1
"48";0,0165334772741037;4,06636512217381e-05;0,983425859074675;3
"49";0,999976879240524;8,97708315013705e-12;2,31207504989845e-05;1
"50";0,999999999103268;8,96601304998794e-10;1,30711825597616e-13;1
