"";"1";"2";"3";"class"
"1";0,999843360690587;1,39321487581234e-209;0,000156639309413424;1
"2";0,052247996916033;2,56536681487561e-30;0,947752003083967;3
"3";0,00116141562309300;6,18397375860293e-77;0,998838584376907;3
"4";0,000125974590693951;1,42378247725153e-34;0,999874025409306;3
"5";0,000130117630036763;1,44536882896407e-66;0,999869882369963;3
"6";0,999970421189122;5,47637038806189e-228;2,95788108774732e-05;1
"7";0,33875948697862;5,19871065315037e-66;0,66124051302138;3
"8";0,999737663691624;3,07965432517085e-250;0,000262336308376348;1
"9";0,994185620876435;5,13732367467425e-191;0,00581437912356544;1
"10";0,00127096763338432;1,24700519672464e-08;0,998729019896564;3
"11";0,115501552736444;6,69279418142266e-54;0,884498447263556;3
"12";0,252667038944227;2,85933153513314e-50;0,747332961055773;3
"13";1,45686018931378e-05;4,33454050757021e-62;0,999985431398107;3
"15";0,997514748864062;4,31070877067198e-190;0,00248525113593765;1
"16";6,90955865659564e-07;0,963882993010547;0,0361163160335870;2
"17";0,99611633583722;5,64632454112879e-128;0,00388366416277952;1
"18";0,000709271037027518;7,63432955222229e-30;0,999290728962973;3
"19";4,81823256514684e-05;1,74326785551806e-09;0,99995181593108;3
"21";0,999960138010635;2,47739696026626e-222;3,98619893647059e-05;1
"22";0,819382665506187;6,35645818668154e-120;0,180617334493813;1
"23";0,99968609385182;5,25296975177806e-179;0,000313906148180051;1
"24";8,45050759666949e-07;4,45408699046006e-14;0,999999154949196;3
"25";0,000770739826347888;9,17091867205026e-27;0,999229260173652;3
"27";0,99751614386604;1,71503027707400e-141;0,00248385613396025;1
"28";0,00208804699542259;2,26897252724807e-74;0,997911953004577;3
"29";0,99986520675381;1,44402251425113e-214;0,000134793246189853;1
"30";0,126057586705764;1,67893794654363e-80;0,873942413294236;3
"31";0,176449589756351;2,35708806970573e-44;0,823550410243649;3
"32";1,45213197886213e-07;0,959858676422571;0,0401411783642313;2
"33";0,984685563724862;1,14094019399599e-175;0,0153144362751379;1
"34";0,00168474003545893;5,15678718830826e-63;0,99831525996454;3
"35";6,13864565398187e-08;0,993272087850879;0,00672785076266447;2
"36";0,0039426979957566;2,18551831430626e-19;0,996057302004243;3
"37";0,713235118653837;1,73816451628714e-114;0,286764881346163;1
"39";0,999295516846406;9,53038482730749e-161;0,000704483153594028;1
"40";1,68487506102279e-05;1,90754304116405e-14;0,99998315124937;3
"41";0,999895358079336;8,95376533018463e-200;0,000104641920663788;1
"42";0,999599644130836;8,86879563459954e-176;0,000400355869163839;1
"43";0,99876530777399;1,35563656374293e-167;0,00123469222600983;1
"44";1,02299981597341e-07;0,993193762761269;0,00680613493874971;2
"46";5,20217433274068e-06;5,67051763612861e-13;0,9999947978251;3
"47";0,933604688392077;1,22610213883542e-124;0,0663953116079228;1
"48";0,693623205738043;5,45866407895047e-88;0,306376794261957;1
"49";0,935650219504072;1,74421691667758e-113;0,0643497804959283;1
"50";0,00150001454911458;8,22239614951903e-43;0,998499985450885;3
