"";"1";"2";"3";"4";"5";"class"
"1";0,99969938612026;0,000223467037023406;2,51419567354394e-18;7,71468427162413e-05;2,44897815436548e-40;1
"2";2,20733244050080e-06;8,06151215888274e-22;1,86646512682252e-46;0,99999779266756;1,16572064719518e-78;4
"3";5,59910228406062e-07;0,998436952890509;0,00156248719925264;1,37827726956803e-23;9,87031202618692e-15;2
"4";6,65945997099097e-21;1,99146495456623e-06;0,998545341893998;2,37918103562356e-46;0,00145266664104777;3
"5";1,69235250730948e-49;8,33532925740844e-22;1,07347900950931e-06;8,74727304524584e-81;0,99999892652099;5
"6";0,000130429239239422;3,28041933270789e-20;4,88351054778597e-44;0,99986957076076;1,97433564562531e-75;4
"7";6,98643844031759e-07;0,999989677889414;9,62346674158058e-06;3,66238320150297e-19;4,10139861818993e-19;2
"8";0,00515011061801088;1,64151416050245e-15;4,80791072146187e-37;0,994849889381987;1,87026188395768e-66;4
"9";1,61103449514722e-07;4,32551783199696e-17;1,80709948066458e-39;0,99999983889655;5,64154417593377e-70;4
"10";5,30998829865422e-41;1,43824032218567e-17;8,7477432878746e-05;9,71079264520688e-72;0,999912522567121;5
"11";2,63768159818602e-05;0,999960801177398;1,28220066200886e-05;2,36319423183905e-19;1,00363492537342e-18;2
"12";6,68411274846015e-18;2,79264697416258e-05;0,999813986924161;7,6564324333848e-43;0,000158086606097352;3
"13";1,50504838820367e-08;0,99973995606447;0,000260028885046003;4,35702606344508e-22;2,02629184369649e-16;2
"14";0,999992355045871;7,19972039586882e-06;2,04162227440238e-19;4,4523373289234e-07;6,72734830353757e-41;1
"15";0,998533431655316;0,000817402562104023;5,91689408221718e-18;0,00064916578257988;3,32225760533515e-40;1
"16";1,87596442537860e-38;2,86224747929006e-17;9,74654368905109e-05;7,47724871071107e-71;0,99990253456311;5
"17";9,57639224130647e-05;0,999903785633829;4,50443758203193e-07;2,00248811349268e-16;1,45864595572514e-21;2
"18";0,999971019656715;1,35217208099204e-05;8,80721163734323e-20;1,54586224752276e-05;6,4344132473658e-42;1
"19";0,000104195601062589;0,999895556064325;2,48334611383433e-07;6,6051909098861e-16;4,50541889119196e-22;2
"20";4,05969545641939e-10;1,05659879771924e-22;7,82964860018521e-48;0,99999999959403;8,8359601462798e-81;4
"21";0,999257768171824;1,65589608024605e-06;5,66304166646532e-22;0,00074057593209543;2,73458452303482e-45;1
"22";9,41828324464527e-45;3,29842110192065e-20;4,80610948438224e-06;3,53748469183743e-77;0,999995193890515;5
"23";0,99999993846585;4,0097487258614e-08;4,25878692075472e-22;2,14366622560424e-08;8,48342259111154e-44;1
"24";3,69354976020744e-21;6,9452807470258e-05;0,999900213049291;8,59285283976432e-42;3,03341432384949e-05;3
"25";1,26323151104941e-41;7,4970866130456e-18;6,55859932758856e-05;2,37703481546667e-72;0,999934414006724;5
"26";5,02315338641398e-44;2,48714085973256e-18;4,62984921139112e-05;1,47740892098661e-73;0,999953701507886;5
"27";4,66985457281388e-42;5,75908655522929e-19;1,7092800418388e-05;1,68427567359922e-74;0,999982907199582;5
"28";0,0202241402411014;2,36842692801220e-15;8,55578016323703e-37;0,979775859758896;4,47624455743855e-66;4
"29";1,13297541261368e-43;2,09752358497754e-19;1,16979902989446e-05;1,57108576630438e-75;0,9999883020097;5
"30";7,93282178389419e-06;5,04587231265812e-18;8,05676649309376e-41;0,999992067178216;1,67444396610434e-71;4
"31";0,000217161010396706;0,9997818749957;9,63993903782782e-07;4,50968005728667e-17;7,11161258332422e-21;2
"32";3,13207042736943e-16;0,000289147124539045;0,999692783766942;8,97328812066245e-40;1,80691085182252e-05;3
"33";2,33735139407263e-08;0,999706370556826;0,000293606069659294;3,47417345153086e-22;2,68263767491498e-16;2
"34";5,97077347009698e-23;3,52354671054161e-06;0,9994797591313;1,07911975760287e-45;0,000516717321990181;3
"35";7,9581521356436e-39;1,73777592231028e-17;7,73214469343377e-05;2,62421523637809e-71;0,999922678553066;5
